Comp1-1	Comp1-2	Comp1-3	Mix1	Comp2-1	Comp2-2	Comp2-3	Mix2
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.00000000	0.00006814	0.00005121	3.00000000	0.00000000	0.00005393	0.00003552	7.00000000
0.00000000	0.00006792	0.00005121	3.00000000	0.00000000	0.00005369	0.00003552	2.00000000
0.00000000	0.00006770	0.00005121	1.00000000	0.00000000	0.00005344	0.00003552	11.00000000
0.00000000	0.00006749	0.00005121	3.00000000	0.00000000	0.00005320	0.00003552	7.00000000
0.00000000	0.00006727	0.00005121	5.00000000	0.00000000	0.00005297	0.00003552	9.00000000
0.00000000	0.00006706	0.00005121	2.00000000	0.00000000	0.00005273	0.00003552	5.00000000
0.00000000	0.00006686	0.00005121	2.00000000	0.00000000	0.00005250	0.00003552	10.00000000
0.00000000	0.00006665	0.00005121	1.00000000	0.00000000	0.00005228	0.00003552	12.00000000
0.00000000	0.00006645	0.00005121	4.00000000	0.00000000	0.00005205	0.00003552	5.00000000
0.00000000	0.00006625	0.00005121	3.00000000	0.00000000	0.00005183	0.00003552	7.00000000
0.00000934	0.00006605	0.00005121	13.00000000	0.00000699	0.00005161	0.00003552	23.00000000
0.00001402	0.00006586	0.00005121	37.00000000	0.00001747	0.00005140	0.00003552	49.00000000
0.00013548	0.00006567	0.00005121	209.00000000	0.00011880	0.00005118	0.00003552	274.00000000
0.00039709	0.00006548	0.00005121	811.00000000	0.00040533	0.00005097	0.00003552	1137.00000000
0.00133143	0.00006981	0.00006300	2778.00000000	0.00140467	0.00005620	0.00004989	3822.00000000
0.00438672	0.00011573	0.00018305	8640.00000000	0.00483597	0.00010746	0.00018558	11357.00000000
0.01119806	0.00025388	0.00054111	21844.00000000	0.01094382	0.00024008	0.00053334	29146.00000000
0.02458247	0.00057260	0.00136251	48228.00000000	0.02458515	0.00055420	0.00135315	64393.00000000
0.04683376	0.00119031	0.00294613	92465.00000000	0.04657412	0.00115953	0.00292470	124011.00000000
0.07894700	0.00223737	0.00561561	155620.00000000	0.07936014	0.00219725	0.00560479	207112.00000000
0.11466212	0.00375703	0.00946035	223208.00000000	0.11307912	0.00367413	0.00938733	296977.00000000
0.14124407	0.00561838	0.01411357	278992.00000000	0.14075663	0.00550318	0.01401882	370218.00000000
0.15035855	0.00757865	0.01892510	300270.00000000	0.15165852	0.00745434	0.01887361	401056.00000000
0.14101983	0.00938494	0.02323288	279960.00000000	0.14236746	0.00925471	0.02322684	374102.00000000
0.11471351	0.01080806	0.02645132	226473.00000000	0.11421124	0.01065288	0.02642641	302789.00000000
